TARGET_ID	INDIVIDUALS	STRATA	MISSING_PROP	HETEROZYGOSITY
3009	3009	VI	0.033093	0.159072
3016	3016	VI	0.031512	0.166667
3021	3021	VI	0.040601	0.146932
3302	3302	VI	0.037242	0.142315
3303	3303	VI	0.030426	0.165053
3304	3304	VI	0.029635	0.154739
3305	3305	VI	0.0325	0.153972
3306	3306	VI	0.032895	0.15761
3307	3307	VI	0.031512	0.145451
3308	3308	VI	0.023017	0.200506
3309	3309	VI	0.018967	0.177122
3310	3310	VI	0.012546	0.233693
3078	3078	BI	0.024301	0.262529
3079	3079	BI	0.033883	0.221268
3080	3080	BI	0.024104	0.191517
3081	3081	BI	0.04149	0.188086
3083	3083	BI	0.024301	0.236408
3084	3084	BI	0.019164	0.21271
3088	3088	BI	0.022622	0.250051
3089	3089	BI	0.022029	0.219596
3090	3090	BI	0.01788	0.243311
3092	3092	BI	0.013435	0.267648
3094	3094	BI	0.022227	0.209537
3096	3096	BI	0.025289	0.231681
3194	3194	AS	0.030031	0.159385
3195	3195	AS	0.028055	0.167192
3196	3196	AS	0.015114	0.246841
3199	3199	AS	0.023313	0.184889
3201	3201	AS	0.019559	0.202519
3202	3202	AS	0.011261	0.302628
3203	3203	AS	0.016398	0.242945
3205	3205	AS	0.027265	0.167056
3206	3206	AS	0.027956	0.169512
3211	3211	AS	0.0244	0.181754
3215	3215	AS	0.017584	0.234992
3220	3220	AS	0.025783	0.174508
3229	3229	HB	0.033587	0.13758600000000001
3230	3230	HB	0.030031	0.151848
3231	3231	HB	0.028351	0.142843
3232	3232	HB	0.032006	0.142259
3233	3233	HB	0.03171	0.147419
3234	3234	HB	0.032698	0.137766
3235	3235	HB	0.02766	0.140811
3236	3236	HB	0.035069	0.141073
3238	3238	HB	0.036748	0.146857
3239	3239	HB	0.036155	0.145024
3242	3242	HB	0.034772	0.143793
3244	3244	HB	0.034377	0.142199
3426	3426	BG	0.03092	0.15841
3427	3427	BG	0.022128	0.234872
3428	3428	BG	0.017979	0.204708
3429	3429	BG	0.020251	0.19994
3430	3430	BG	0.020251	0.196713
3431	3431	BG	0.024301	0.194998
3432	3432	BG	0.015904	0.267517
3433	3433	BG	0.019856	0.219512
3434	3434	BG	0.01541	0.244507
3435	3435	BG	0.017189	0.213288
3440	3440	BG	0.031611	0.163929
3441	3441	BG	0.022819	0.199454
3827	3827	CoP	0.036057	0.157614
3831	3831	CoP	0.031315	0.155415
3832	3832	CoP	0.026474	0.185185
3834	3834	CoP	0.025388	0.212954
3835	3835	CoP	0.028055	0.168615
3836	3836	CoP	0.021436	0.222996
3837	3837	CoP	0.036748	0.164496
3838	3838	CoP	0.025783	0.204015
3841	3841	CoP	0.024696	0.199332
3842	3842	CoP	0.018967	0.221428
3843	3843	CoP	0.028746	0.204028
3847	3847	CoP	0.028252	0.157568
DH01	DH01	DH	0.033784	0.147531
DH07	DH07	DH	0.025487	0.181652
DH09	DH09	DH	0.026376	0.166193
DH10	DH10	DH	0.031315	0.165511
DH11	DH11	DH	0.025882	0.183754
DH13	DH13	DH	0.03497	0.15887
DH18	DH18	DH	0.009681	0.28788
DH20	DH20	DH	0.025388	0.178492
DH21	DH21	DH	0.023017	0.17816
DH22	DH22	DH	0.026672	0.168984
DH24	DH24	DH	0.028055	0.169936
HP01	HP01	HP	0.040008	0.165466
HP02	HP02	HP	0.031908	0.155612
HP03	HP03	HP	0.024499	0.163747
HP04	HP04	HP	0.029142	0.148148
HP05	HP05	HP	0.022523	0.1714
HP06	HP06	HP	0.011558	0.236158
HP07	HP07	HP	0.024301	0.165739
HP08	HP08	HP	0.029438	0.150636
HP09	HP09	HP	0.028154	0.157044
HP20	HP20	HP	0.031216	0.156827
HP21	HP21	HP	0.027561	0.162536
HP22	HP22	HP	0.028154	0.156231
JI01	JI01	JU	0.032698	0.158088
JI02	JI02	JU	0.033883	0.156646
JI03	JI03	JU	0.034377	0.158465
JI04	JI04	JU	0.031611	0.158625
JI05	JI05	JU	0.031512	0.171767
JI06	JI06	JU	0.035167	0.151735
JI07	JI07	JU	0.037341	0.150949
JI08	JI08	JU	0.03418	0.158535
JI09	JI09	JU	0.029043	0.168786
JI10	JI10	JU	0.030129	0.170096
JI11	JI11	JU	0.027363	0.169917
